Start_date,Start_day,Start_time,SHour,End_date,End_day,End_time,Duration,Category,Pickup,Destination,KM,Purpose,Driver_Rating,Fare,Tip,Payment_Method,Status
25-Jan-16,Monday,12:34:00,12,25-Jan-16,Monday,12:44:00,00:10:00,Business,Fairmont,Meredith Townes,3.4,Customer Visit,2,142.2,14,UPI/e-Wallet,Completed
08-Sep-16,Thursday,14:05:00,14,08-Sep-16,Thursday,14:13:00,00:08:00,Business,Raleigh,Raleigh,2.7,Customer Visit,3,119.1,11,Uber Cash,Completed
25-Jul-16,Monday,14:46:00,14,25-Jul-16,Monday,15:08:00,00:22:00,Business,Raleigh,Cary,12.9,Customer Visit,,455.7,45,Uber Cash,Completed
17-Oct-16,Monday,12:28:00,12,17-Oct-16,Monday,13:00:00,00:32:00,Business,Cary,Raleigh,19,Temporary Site,4,657,65,Gift Card,Completed
15-Jan-16,Friday,15:11:00,15,15-Jan-16,Friday,15:31:00,00:20:00,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,3,515.1,51,UPI/e-Wallet,Completed
26-Feb-16,Friday,16:21:00,16,26-Feb-16,Friday,16:51:00,00:30:00,Business,Raleigh,Cary,15.7,Meeting,3,548.1,54,UPI/e-Wallet,Completed
25-May-16,Wednesday,09:31:00,9,25-May-16,Wednesday,09:45:00,00:14:00,Business,Cary,Cary,4.6,Customer Visit,0,181.8,18,UPI/e-Wallet,Completed
15-Jun-16,Wednesday,10:56:00,10,15-Jun-16,Wednesday,11:07:00,00:11:00,Business,Cary,Cary,5.2,Meeting,5,201.6,20,UPI/e-Wallet,Completed
04-Nov-16,Friday,11:43:00,11,04-Nov-16,Friday,12:03:00,00:20:00,Business,Cary,Durham,10.4,Meeting,4,373.2,37,UPI/e-Wallet,Completed
01-May-16,Sunday,13:24:00,13,01-May-16,Sunday,13:47:00,00:23:00,Business,Durham,Cary,10.1,Meeting,5,363.3,36,UPI/e-Wallet,Completed
01-Mar-16,Tuesday,18:31:00,18,01-Mar-16,Tuesday,18:52:00,00:21:00,Business,Cary,Apex,5.8,Errand/Supplies,2,221.4,22,UPI/e-Wallet,Completed
17-Feb-16,Wednesday,21:21:00,21,17-Feb-16,Wednesday,21:40:00,00:19:00,Business,Apex,Cary,5.5,Meal/Entertain,1,211.5,21,Card,Completed
31-Dec-16,Saturday,16:21:00,16,31-Dec-16,Saturday,16:33:00,00:12:00,Business,Cary,Apex,5.7,Errand/Supplies,1,218.1,21,Uber Cash,Completed
30-Nov-16,Wednesday,18:09:00,18,30-Nov-16,Wednesday,18:24:00,00:15:00,Business,Apex,Cary,5.7,Customer Visit,2,218.1,21,Card,Completed
30-Jun-16,Thursday,10:35:00,10,30-Jun-16,Thursday,11:15:00,00:40:00,Business,Cary,Chapel Hill,19.4,Customer Visit,3,670.2,67,Uber Cash,Completed
16-Dec-16,Friday,12:10:00,12,16-Dec-16,Friday,12:43:00,00:33:00,Business,Chapel Hill,Cary,23.3,Customer Visit,0,798.9,,Cash,Completed
28-Dec-16,Wednesday,12:56:00,12,28-Dec-16,Wednesday,13:07:00,00:11:00,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,5,158.7,15,Uber Cash,Completed
18-Mar-16,Friday,13:04:00,13,18-Mar-16,Friday,13:23:00,00:19:00,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,2,303.9,30,Uber Cash,Completed
01-Mar-16,Tuesday,13:51:00,13,01-Mar-16,Tuesday,14:06:00,00:15:00,Business,Cary,Cary,6,Errand/Supplies,2,228,22,Uber Cash,Completed
07-Jun-16,Tuesday,14:38:00,14,07-Jun-16,Tuesday,14:42:00,00:04:00,Business,Cary,Cary,1.6,Errand/Supplies,4,82.8,8,Gift Card,Completed
14-Dec-16,Wednesday,08:40:00,8,14-Dec-16,Wednesday,09:01:00,00:21:00,Business,Cary,Morrisville,5.2,Errand/Supplies,4,201.6,20,Gift Card,Completed
04-Oct-16,Tuesday,09:37:00,9,04-Oct-16,Tuesday,10:09:00,00:32:00,Business,Morrisville,Cary,9.7,Meal/Entertain,3,350.1,35,UPI/e-Wallet,Completed
25-Aug-16,Thursday,10:26:00,10,25-Aug-16,Thursday,10:32:00,00:06:00,Business,Cary,Cary,1.6,Meal/Entertain,5,82.8,8,UPI/e-Wallet,Completed
06-Aug-16,Saturday,15:59:00,15,06-Aug-16,Saturday,16:03:00,00:04:00,Business,Cary,Cary,1.1,Meal/Entertain,1,66.3,6,Uber Cash,Completed
05-Aug-16,Friday,16:35:00,16,05-Aug-16,Friday,16:39:00,00:04:00,Business,Cary,Cary,1.6,Meal/Entertain,5,82.8,8,UPI/e-Wallet,Completed
25-May-16,Wednesday,18:04:00,18,25-May-16,Wednesday,18:31:00,00:27:00,Business,Whitebridge,Macgregor Downs,9,Meeting,,327,32,Cash,Completed
23-Feb-16,Tuesday,20:36:00,20,23-Feb-16,Tuesday,20:55:00,00:19:00,Business,Cary,Cary,7.7,Meeting,2,284.1,28,Card,Completed
28-May-16,Saturday,11:47:00,11,28-May-16,Saturday,12:07:00,00:20:00,Business,Cary,Durham,10.4,Meeting,0,373.2,37,Uber Cash,Completed
31-Dec-16,Saturday,13:22:00,13,31-Dec-16,Saturday,13:41:00,00:19:00,Business,Durham,Cary,10.4,Meeting,5,373.2,37,UPI/e-Wallet,Completed
26-Mar-16,Saturday,16:20:00,16,26-Mar-16,Saturday,16:53:00,00:33:00,Business,Cary,Raleigh,11.4,Between Offices,2,406.2,40,Uber Cash,Completed
27-Sep-16,Tuesday,18:57:00,18,27-Sep-16,Tuesday,19:21:00,00:24:00,Business,Raleigh,Cary,9,Errand/Supplies,4,327,,UPI/e-Wallet,Completed
05-Mar-16,Saturday,19:28:00,19,05-Mar-16,Saturday,19:37:00,00:09:00,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,1,135.6,13,Uber Cash,Completed
03-Jul-16,Sunday,16:49:00,16,03-Jul-16,Sunday,17:01:00,00:12:00,Business,Cary,Apex,5.6,Errand/Supplies,1,214.8,21,Uber Cash,Completed
15-Mar-16,Tuesday,18:03:00,18,15-Mar-16,Tuesday,18:17:00,00:14:00,Business,Apex,Cary,5.7,Customer Visit,4,218.1,21,UPI/e-Wallet,Completed
12-Jun-16,Sunday,18:39:00,18,12-Jun-16,Sunday,18:53:00,00:14:00,Business,Cary,Morrisville,6.1,Temporary Site,1,231.3,23,Cash,Completed
27-Jan-16,Wednesday,20:22:00,20,27-Jan-16,Wednesday,20:40:00,00:18:00,Business,Morrisville,Cary,6.1,Meeting,2,231.3,23,Cash,Completed
03-Jan-16,Sunday,12:57:00,12,03-Jan-16,Sunday,13:08:00,00:11:00,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,3,171.9,17,Card,Completed
11-Mar-16,Friday,14:00:00,14,11-Mar-16,Friday,14:10:00,00:10:00,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,5,119.1,0,Uber Cash,Completed
29-May-16,Sunday,10:54:00,10,29-May-16,Sunday,11:07:00,00:13:00,Personal,Whitebridge,Northwoods,5.3,,4,204.9,20,Uber Cash,Completed
06-Aug-16,Saturday,11:43:00,11,06-Aug-16,Saturday,11:50:00,00:07:00,Personal,Northwoods,Tanglewood,3,,2,129,12,UPI/e-Wallet,Completed
07-Mar-16,Monday,13:36:00,13,07-Mar-16,Monday,13:52:00,00:16:00,Personal,Tanglewood,Preston,5.1,,1,198.3,19,Uber Cash,Completed
19-Aug-16,Friday,13:58:00,13,19-Aug-16,Friday,14:02:00,00:04:00,Personal,Preston,Whitebridge,1.5,,5,79.5,7,Card,Completed
30-Jan-16,Saturday,18:55:00,18,30-Jan-16,Saturday,19:11:00,00:16:00,Business,Cary,Morrisville,6.1,,4,231.3,,Card,Completed
12-Mar-16,Saturday,20:24:00,20,12-Mar-16,Saturday,20:40:00,00:16:00,Business,Morrisville,Cary,6.1,Meal/Entertain,2,231.3,23,Uber Cash,Completed
03-Oct-16,Monday,16:28:00,16,03-Oct-16,Monday,17:10:00,00:42:00,Business,Cary,Raleigh,17.3,Meal/Entertain,5,600.9,60,Uber Cash,Completed
13-Apr-16,Wednesday,17:49:00,17,13-Apr-16,Wednesday,18:10:00,00:21:00,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,1,218.1,21,UPI/e-Wallet,Completed
21-Apr-16,Thursday,18:24:00,18,21-Apr-16,Thursday,18:46:00,00:22:00,Business,Raleigh,Morrisville,13.5,Temporary Site,,475.5,47,Card,Completed
11-Apr-16,Monday,20:36:00,20,11-Apr-16,Monday,20:51:00,00:15:00,Business,Morrisville,Cary,6.1,Temporary Site,3,231.3,23,Card,Completed
03-Aug-16,Wednesday,08:21:00,8,03-Aug-16,Wednesday,08:42:00,00:21:00,Business,Cary,Durham,8.5,Temporary Site,3,310.5,31,Card,Completed
30-Aug-16,Tuesday,10:45:00,10,30-Aug-16,Tuesday,10:52:00,00:07:00,Business,Durham,Morrisville,2.6,Temporary Site,4,115.8,11,Card,Completed
18-Jan-16,Monday,11:14:00,11,18-Jan-16,Monday,11:35:00,00:21:00,Business,Morrisville,Raleigh,17,Customer Visit,2,591,59,Card,Completed
17-Jun-16,Friday,13:02:00,13,17-Jun-16,Friday,13:36:00,00:34:00,Business,Raleigh,Cary,18,Meeting,1,624,62,Card,Completed
19-Apr-16,Tuesday,14:49:00,14,19-Apr-16,Tuesday,15:06:00,00:17:00,Business,Cary,Morrisville,8.4,Meeting,4,307.2,30,Card,Completed
20-Mar-16,Sunday,15:33:00,15,20-Mar-16,Sunday,16:06:00,00:33:00,Business,Morrisville,Cary,11.5,Customer Visit,1,409.5,40,Card,Completed
13-May-16,Friday,14:21:00,14,13-May-16,Friday,14:41:00,00:20:00,Business,Cary,Morrisville,8.9,Meeting,0,323.7,,Cash,Completed
04-Feb-16,Thursday,23:45:00,23,04-Feb-16,Thursday,00:01:00,00:16:00,Personal,East Elmhurst,Jackson Heights,2.7,,2,119.1,11,Card,Completed
18-Jul-16,Monday,00:50:00,0,18-Jul-16,Monday,01:00:00,00:10:00,Personal,Jackson Heights,East Elmhurst,1.8,,1,89.4,8,UPI/e-Wallet,Completed
01-Apr-16,Friday,14:07:00,14,01-Apr-16,Friday,14:40:00,00:33:00,,East Elmhurst,New York,8.1,Meeting,5,297.3,29,Card,Completed
24-Sep-16,Saturday,14:46:00,14,24-Sep-16,Saturday,15:03:00,00:17:00,,Midtown,Midtown West,2,Meeting,4,96,9,Cash,Completed
08-Aug-16,Monday,16:35:00,16,08-Aug-16,Monday,17:02:00,00:27:00,,New York,Long Island City,13,Meeting,4,459,45,Card,Completed
02-May-16,Monday,17:06:00,17,02-May-16,Monday,17:29:00,00:23:00,,Long Island City,Jamaica,13.9,Meeting,3,488.7,48,Uber Cash,Completed
11-Feb-16,Thursday,03:21:00,3,11-Feb-16,Thursday,04:13:00,00:52:00,,Katunayaka,Unknown Location,43.7,Customer Visit,4,1472.1,47,Cash,Completed
20-Aug-16,Saturday,08:29:00,8,20-Aug-16,Saturday,09:34:00,01:05:00,,Unknown Location,Colombo,14.1,,5,495.3,49,Uber Cash,Cancelled 
13-Sep-16,Tuesday,10:31:00,10,13-Sep-16,Tuesday,10:41:00,00:10:00,,Colombo,Colombo,2.6,,1,115.8,11,Uber Cash,Completed
28-Mar-16,Monday,11:32:00,11,28-Mar-16,Monday,12:02:00,00:30:00,Business,Colombo,Colombo,4.5,,2,178.5,17,Uber Cash,Completed
28-Feb-16,Sunday,12:39:00,12,28-Feb-16,Sunday,12:42:00,00:03:00,Business,Colombo,Colombo,1.7,,3,86.1,8,Cash,Completed
11-Dec-16,Sunday,13:43:00,13,11-Dec-16,Sunday,13:55:00,00:12:00,Business,Colombo,Colombo,1.8,Temporary Site,3,89.4,,Uber Cash,Completed
23-Jan-16,Saturday,16:34:00,16,23-Jan-16,Saturday,17:10:00,00:36:00,Business,Colombo,Colombo,6,,4,228,,Uber Cash,Completed
15-Nov-16,Tuesday,17:17:00,17,15-Nov-16,Tuesday,17:26:00,00:09:00,Business,Colombo,Nugegoda,1.1,Meal/Entertain,2,66.3,,Gift Card,Completed
17-Mar-16,Thursday,17:40:00,17,17-Mar-16,Thursday,17:44:00,00:04:00,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,2,148.8,,UPI/e-Wallet,Completed
24-Feb-16,Wednesday,13:18:00,13,24-Feb-16,Wednesday,14:04:00,00:46:00,Business,Unknown Location,Colombo,14.7,Temporary Site,5,515.1,,Uber Cash,Cancelled 
04-Jun-16,Saturday,15:17:00,15,04-Jun-16,Saturday,15:22:00,00:05:00,Business,Colombo,Colombo,1.7,Meal/Entertain,1,86.1,,Card,Completed
17-Mar-16,Thursday,15:33:00,15,17-Mar-16,Thursday,16:17:00,00:44:00,Business,Colombo,Katunayaka,21.4,Temporary Site,5,736.2,,Uber Cash,Completed
22-May-16,Sunday,16:38:00,16,22-May-16,Sunday,16:43:00,00:05:00,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,5,46.5,,Cash,Completed
10-Apr-16,Sunday,08:19:00,8,10-Apr-16,Sunday,08:27:00,00:08:00,Business,Unknown Location,Unknown Location,23.5,Temporary Site,0,805.5,80,Uber Cash,Cancelled 
11-Nov-16,Friday,14:03:00,14,11-Nov-16,Friday,14:45:00,00:42:00,Business,Unknown Location,Islamabad,12.7,Temporary Site,1,449.1,44,Card,Cancelled 
07-Feb-16,Sunday,15:16:00,15,07-Feb-16,Sunday,15:31:00,00:15:00,Business,Islamabad,Unknown Location,6,Temporary Site,5,228,22,Gift Card,Completed
31-Mar-16,Thursday,18:44:00,18,31-Mar-16,Thursday,18:58:00,00:14:00,Business,Unknown Location,Islamabad,5.2,Customer Visit,1,201.6,,Cash,Cancelled 
03-Aug-16,Wednesday,19:27:00,19,03-Aug-16,Wednesday,20:08:00,00:41:00,Business,Islamabad,Unknown Location,10,Meeting,0,360,36,Gift Card,Completed
18-Apr-16,Monday,09:02:00,9,18-Apr-16,Monday,09:14:00,00:12:00,Business,Unknown Location,Unknown Location,18.3,Meeting,2,633.9,63,Card,Cancelled 
29-Jun-16,Wednesday,09:21:00,9,29-Jun-16,Wednesday,09:51:00,00:30:00,Business,Unknown Location,Unknown Location,11.2,Meeting,1,399.6,39,Gift Card,Cancelled 
25-Aug-16,Thursday,10:21:00,10,25-Aug-16,Thursday,10:48:00,00:27:00,Business,Unknown Location,Islamabad,7.6,Meeting,5,280.8,28,UPI/e-Wallet,Cancelled 
26-Jan-16,Tuesday,11:20:00,11,26-Jan-16,Tuesday,11:26:00,00:06:00,Personal,Islamabad,Islamabad,1.5,,3,79.5,7,Cash,Completed
12-Mar-16,Saturday,11:45:00,11,12-Mar-16,Saturday,11:50:00,00:05:00,Personal,Islamabad,Islamabad,1,,5,63,6,UPI/e-Wallet,Completed
24-Aug-16,Wednesday,12:09:00,12,24-Aug-16,Wednesday,12:27:00,00:18:00,Business,Islamabad,Unknown Location,7.3,Temporary Site,0,270.9,27,Uber Cash,Completed
14-May-16,Saturday,16:26:00,16,14-May-16,Saturday,16:45:00,00:19:00,Business,Unknown Location,Islamabad,3.5,,1,145.5,14,Uber Cash,Cancelled 
29-Sep-16,Thursday,17:09:00,17,29-Sep-16,Thursday,17:20:00,00:11:00,Business,Islamabad,Islamabad,4.2,,0,168.6,16,UPI/e-Wallet,Completed
11-Oct-16,Tuesday,20:08:00,20,11-Oct-16,Tuesday,20:30:00,00:22:00,Personal,Islamabad,Unknown Location,13.6,,3,478.8,47,Uber Cash,Completed
15-Oct-16,Saturday,20:34:00,20,15-Oct-16,Saturday,20:51:00,00:17:00,Personal,Unknown Location,Unknown Location,2.5,,5,112.5,11,Card,Cancelled 
27-Aug-16,Saturday,07:59:00,7,27-Aug-16,Saturday,08:32:00,00:33:00,Personal,Unknown Location,Islamabad,14.4,,5,505.2,50,Gift Card,Cancelled 
07-Dec-16,Wednesday,10:48:00,10,07-Dec-16,Wednesday,10:56:00,00:08:00,Personal,Islamabad,Islamabad,3,,4,129,,Cash,Completed
17-Feb-16,Wednesday,11:45:00,11,17-Feb-16,Wednesday,11:53:00,00:08:00,Personal,Islamabad,Islamabad,1.5,,,79.5,7,Uber Cash,Completed
19-May-16,Thursday,12:41:00,12,19-May-16,Thursday,13:17:00,00:36:00,Business,Islamabad,R?walpindi,18.4,,3,637.2,63,Gift Card,Completed
08-Apr-16,Friday,14:50:00,14,08-Apr-16,Friday,15:54:00,01:04:00,Business,R?walpindi,R?walpindi,23.1,Meeting,1,792.3,79,Card,Completed
06-Aug-16,Saturday,16:59:00,16,06-Aug-16,Saturday,17:54:00,00:55:00,Personal,R?walpindi,Unknown Location,16.5,,2,574.5,57,Uber Cash,Completed
03-Jul-16,Sunday,18:00:00,18,03-Jul-16,Sunday,18:03:00,00:03:00,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,1,135.6,13,Uber Cash,Cancelled 
04-May-16,Wednesday,19:28:00,19,04-May-16,Wednesday,19:49:00,00:21:00,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,4,284.1,28,UPI/e-Wallet,Cancelled 
29-Jan-16,Friday,09:07:00,9,29-Jan-16,Friday,09:46:00,00:39:00,Business,Unknown Location,Islamabad,14.5,,2,508.5,50,Uber Cash,Cancelled 
13-Aug-16,Saturday,11:39:00,11,13-Aug-16,Saturday,11:43:00,00:04:00,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,1,109.2,10,Uber Cash,Cancelled 
21-Dec-16,Wednesday,11:47:00,11,21-Dec-16,Wednesday,12:01:00,00:14:00,Business,Islamabad,Islamabad,4.6,Errand/Supplies,3,181.8,18,Card,Completed
30-Dec-16,Friday,12:13:00,12,30-Dec-16,Friday,12:35:00,00:22:00,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,5,320.4,32,Uber Cash,Completed
06-Mar-16,Sunday,12:51:00,12,06-Mar-16,Sunday,13:12:00,00:21:00,Business,Unknown Location,Unknown Location,8.3,Temporary Site,4,303.9,30,Uber Cash,Cancelled 
16-Dec-16,Friday,13:33:00,13,16-Dec-16,Friday,14:30:00,00:57:00,Business,Unknown Location,Unknown Location,22.7,Temporary Site,3,779.1,77,Card,Cancelled 
28-Mar-16,Monday,14:36:00,14,28-Mar-16,Monday,15:03:00,00:27:00,Business,Unknown Location,Islamabad,13,Temporary Site,0,459,45,Uber Cash,Cancelled 
20-Sep-16,Tuesday,15:14:00,15,20-Sep-16,Tuesday,15:31:00,00:17:00,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,1,297.3,29,Uber Cash,Completed
10-Jan-16,Sunday,15:36:00,15,10-Jan-16,Sunday,15:41:00,00:05:00,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,2,102.6,,UPI/e-Wallet,Completed
25-Apr-16,Monday,16:04:00,16,25-Apr-16,Monday,16:32:00,00:28:00,Business,Unknown Location,Unknown Location,9.7,,5,350.1,35,Uber Cash,Cancelled 
22-Dec-16,Thursday,23:15:00,23,22-Dec-16,Thursday,23:52:00,00:37:00,Business,Unknown Location,R?walpindi,20,Meeting,5,690,69,Uber Cash,Cancelled 
26-Jun-16,Sunday,21:54:00,21,26-Jun-16,Sunday,22:09:00,00:15:00,Business,Morrisville,Cary,8.1,Customer Visit,0,297.3,29,Card,Completed
